Date,Open,High,Low,Close,Adj Close,Volume
6/28/2019,303.299988,304.290009,292.339996,300.149994,300.149994,1500900
7/1/2019,308.600006,308.769989,300.329987,304.679993,304.679993,1344000
7/2/2019,305.390015,314.660004,305,311.959991,311.959991,1298800
7/3/2019,310.890015,318.339996,310.279999,313.329987,313.329987,966400
7/5/2019,311.01001,313.929993,303.410004,313.720001,313.720001,1318300
7/8/2019,314.440002,329.799988,312.959991,321,321,2548700
7/9/2019,322.410004,324.429993,319.5,321.980011,321.980011,1740700
7/10/2019,324.529999,326.98999,318.51001,319.01001,319.01001,1275700
7/11/2019,319,319.789001,314.23999,315,315,1238300
7/12/2019,315,315.778015,302.570007,310.019989,310.019989,2024800
7/15/2019,309.940002,324.290009,306.016998,324.019989,324.019989,1841300
7/16/2019,323.660004,324.799988,315.869995,317.390015,317.390015,1336900
7/17/2019,319.320007,336.950012,319.03299,325.320007,325.320007,3748200
7/18/2019,325.75,333.26001,322.609985,331.149994,331.149994,1699800
7/19/2019,333.149994,339,329.679993,330,330,1478900
7/22/2019,331.920013,340.835999,331.51001,335.23999,335.23999,1870900
7/23/2019,337,338.959991,328.600006,330.220001,330.220001,1664100
7/24/2019,330.51001,331.825989,324.109985,329.570007,329.570007,1888900
